,A_MARITL,A_SEX,A_HGA,A_AGE,PEAFEVER,PEARNVAL
489,5,1,39,65,2,6405
490,4,2,42,58,2,34000
491,1,1,40,44,2,150000
492,1,2,39,46,2,0
493,7,2,40,20,2,0
494,7,2,35,17,2,0
495,7,1,35,16,-1,0
496,7,2,40,22,2,9000
497,5,1,40,23,2,15000
498,7,1,40,25,2,10000
499,1,2,42,60,2,90000
500,1,1,43,51,2,55000
501,1,1,43,44,2,8112
502,1,2,40,59,2,19000
503,1,1,43,79,2,10000
504,1,2,43,75,2,0
505,1,2,40,42,2,0
506,1,1,39,37,2,20000
507,7,1,0,13,-1,0
508,7,2,0,1,-1,0
509,5,1,39,79,1,0
510,4,1,34,70,2,0
511,1,1,39,38,2,40000
512,1,2,39,36,2,38000
513,7,2,0,11,-1,0
514,7,2,0,9,-1,0
515,7,1,0,7,-1,0
516,1,2,43,28,2,75000
517,1,1,39,31,2,30000
518,1,2,43,31,2,0
519,1,1,46,31,2,53200
520,7,1,0,3,-1,0
521,7,2,0,1,-1,0
522,1,1,39,43,2,75000
523,1,2,46,43,2,135000
524,7,2,0,14,-1,0
525,7,2,0,12,-1,0
526,5,1,42,62,2,0
527,7,2,39,60,2,0
528,1,2,42,40,2,43000
529,1,1,39,37,2,50000
530,7,1,36,17,2,1200
531,7,2,0,14,-1,0
532,5,1,43,70,2,64500
533,5,2,44,71,2,44000
534,4,2,39,76,2,48000
535,4,2,43,52,2,42000
536,1,1,46,35,2,80000
537,1,2,40,27,2,30000
538,7,2,0,10,-1,0
539,7,2,0,1,-1,0
540,1,1,43,50,-1,70000
541,2,2,39,63,2,0
542,7,1,36,16,-1,0
543,1,1,39,54,1,104000
544,1,2,43,50,2,67000
545,7,1,39,45,2,0
546,7,1,39,23,2,0
547,7,1,0,13,-1,0
548,7,2,0,9,-1,0
549,7,2,0,4,-1,0
550,7,2,0,3,-1,0
551,7,2,39,36,2,24000
552,4,2,37,69,2,0
553,7,2,0,13,-1,0
554,1,1,44,56,2,0
555,1,2,44,56,2,0
556,1,2,43,43,2,12000
557,1,1,43,48,1,30000
558,7,1,34,15,-1,0
559,7,1,0,14,-1,0
560,1,2,43,32,2,13000
561,1,1,46,35,2,125000
562,7,1,0,7,-1,0
563,7,2,0,5,-1,0
564,7,2,0,1,-1,0
565,5,1,39,71,1,0
566,1,2,40,73,2,0
567,1,1,33,75,2,0
568,4,2,42,85,2,0
569,7,1,39,69,2,0
570,4,2,39,85,2,0
571,1,2,41,48,2,0
572,1,1,40,55,2,2880
573,7,2,38,18,2,7560
574,1,2,39,66,2,0
575,1,1,40,62,2,0
576,7,2,39,23,2,0
577,7,2,35,43,2,0
578,7,1,0,11,-1,0
579,5,2,39,48,2,22000
580,7,2,0,12,-1,0
581,7,1,39,44,2,0
582,1,2,39,45,2,32000
583,1,1,39,41,2,35000
584,7,2,0,13,-1,0
585,4,2,39,72,2,0
586,7,1,39,42,2,0
587,7,1,39,33,2,50000
588,4,2,39,70,2,0
589,7,2,40,34,2,5000
590,7,1,0,8,-1,0
591,7,1,0,3,-1,0
592,5,1,42,46,2,29000
593,1,1,43,32,2,34995
594,1,2,39,28,2,40196
595,5,1,43,64,2,23001
596,7,1,34,64,2,1000
597,5,1,39,41,2,20000
598,7,1,34,15,-1,0
599,7,2,43,31,2,60000
600,1,2,39,57,2,371000
601,1,1,39,59,2,36000
602,4,2,36,80,2,0
603,7,2,39,62,2,6000
604,7,2,39,24,2,12000
605,5,1,39,57,2,6000
606,7,2,40,44,2,20000
607,7,1,0,13,-1,0
608,4,2,42,64,2,17000
609,7,2,39,24,2,12000
610,7,2,39,29,2,0
611,7,1,39,41,2,25000
612,7,2,42,44,2,25000
613,7,2,40,20,2,6000
614,1,2,43,41,2,0
615,1,1,43,43,2,130000
616,7,2,0,8,-1,0
617,7,2,0,6,-1,0
618,7,1,40,27,2,56000
619,7,1,42,23,2,50000
620,7,2,43,51,2,10700
621,7,2,0,9,-1,0
622,7,2,43,30,2,33000
623,1,1,39,66,2,12800
624,1,2,40,74,2,0
625,1,1,42,45,2,38500
626,1,2,40,40,2,5000
627,7,2,37,16,-1,2500
628,7,1,0,14,-1,0
629,7,2,0,12,-1,0
630,7,1,0,10,-1,0
631,7,1,0,8,-1,0
632,7,1,0,6,-1,0
633,7,2,0,4,-1,0
634,1,2,44,29,2,15400
635,1,1,43,34,2,63000
636,7,1,0,0,-1,0
637,1,1,42,29,2,26000
638,1,2,42,29,2,20000
639,7,1,0,3,-1,0
640,7,2,0,1,-1,0
641,5,2,39,62,2,0
642,7,2,34,15,-1,0
643,7,1,0,11,-1,0
644,7,1,39,31,2,22400
645,7,2,0,12,-1,0
646,7,2,0,1,-1,0
647,7,2,39,40,2,3600
648,1,1,39,38,1,30300
649,1,2,39,35,2,32000
650,7,2,0,5,-1,0
651,7,1,44,28,2,15000
652,7,2,42,27,2,131000
653,4,2,39,77,2,0
654,5,2,42,66,2,29000
655,7,1,0,12,-1,0
656,7,1,36,42,2,0
657,7,2,0,9,-1,0
658,7,2,38,41,2,13000
659,7,2,0,12,-1,0
660,7,2,43,61,2,50000
661,7,2,43,25,2,30000
662,7,2,43,24,2,72009
663,7,1,43,26,2,50000
664,1,1,40,70,1,0
665,1,2,41,78,2,0
666,7,2,43,48,2,17700
667,1,1,40,37,-1,69000
668,2,2,43,36,2,56000
669,1,1,44,54,1,55000
670,1,2,43,56,2,0
671,7,2,44,74,2,0
672,5,2,44,80,2,39000
673,1,1,44,42,2,0
674,1,2,44,33,2,52681
675,7,2,0,0,-1,0
676,7,2,39,46,2,24002
677,7,2,0,11,-1,0
678,7,1,0,6,-1,0
679,1,1,44,85,1,0
680,1,2,43,85,2,0
681,1,2,43,62,2,0
682,1,1,44,65,1,0
683,5,2,46,69,2,108408
684,4,2,39,80,2,0
685,1,1,39,60,2,65000
686,1,2,40,58,2,160000
687,7,1,39,37,2,35000
688,1,1,40,80,2,0
689,1,2,39,79,2,0
690,7,1,39,53,2,0
691,1,2,39,48,2,60000
692,1,1,39,49,2,120002
693,1,1,43,85,1,0
694,1,2,42,85,2,0
695,3,1,39,62,2,52300
696,1,1,45,85,1,0
697,1,2,43,85,2,0
698,7,1,40,25,2,10500
699,7,1,39,24,2,55000
700,4,2,39,80,2,0
701,1,1,36,53,2,80000
702,1,2,34,53,2,0
703,7,2,37,17,2,0
704,6,2,41,42,2,71000
705,5,2,44,67,2,110000
706,1,1,43,33,2,30000
707,1,2,40,39,2,30000
708,7,1,0,6,-1,0
709,7,2,0,3,-1,0
710,7,2,0,2,-1,0
711,3,2,44,63,2,33501
712,1,2,43,50,2,50000
713,1,1,43,51,2,100000
714,7,1,39,24,2,6000
715,7,2,39,20,2,10000
716,4,2,40,80,2,0
717,1,1,43,41,2,96000
718,1,2,43,36,2,106000
719,7,1,0,5,-1,0
720,7,2,0,2,-1,0
721,5,1,39,48,2,48000
722,4,2,32,74,2,0
723,7,2,44,27,2,55000
724,7,2,43,25,2,63000
725,1,2,43,62,2,70000
726,1,1,43,67,2,0
727,1,2,42,64,2,52000
728,1,1,42,65,2,93500
729,1,1,40,33,2,100000
730,1,2,44,32,2,46000
731,1,2,42,36,2,14400
732,1,1,42,37,2,28000
733,5,2,39,72,2,0
734,7,2,39,47,2,0
735,7,1,39,58,2,0
736,1,1,45,57,2,420000
737,1,2,36,63,2,1500
738,1,2,39,41,2,20000
739,1,1,39,42,2,40000
740,7,1,0,2,-1,0
741,1,1,46,33,2,140000
742,1,2,46,30,2,25000
743,7,1,0,3,-1,0
744,7,1,0,0,-1,0
745,1,2,41,75,2,0
746,1,1,45,77,1,0
747,7,2,43,47,2,72000
748,1,1,39,63,2,6720
749,1,2,39,63,2,38000
750,1,2,43,41,2,18000
751,1,1,44,41,1,100000
752,7,2,0,7,-1,0
753,7,1,0,5,-1,0
754,1,1,43,68,2,150000
755,1,2,43,71,2,30000
756,5,1,43,67,2,100000
757,1,1,44,36,2,85000
758,1,2,43,36,2,20000
759,7,1,0,0,-1,0
760,1,2,46,71,2,0
761,1,1,46,76,2,0
762,4,2,42,65,2,0
763,7,1,45,51,2,490000
764,1,1,43,49,2,90000
765,1,2,43,41,2,55000
766,7,1,0,14,-1,0
767,7,1,0,13,-1,0
768,7,1,0,12,-1,0
769,1,2,43,40,2,220000
770,1,1,43,45,1,125000
771,7,1,0,10,-1,0
772,7,1,0,7,-1,0
773,5,1,43,74,2,0
774,7,1,43,23,2,58000
775,7,1,43,25,2,50000
776,7,1,43,24,2,50000
777,1,1,40,79,1,0
778,1,2,39,75,2,0
779,4,2,39,74,2,0
780,5,2,44,35,2,120000
781,1,1,40,37,2,15000
782,1,2,43,46,2,15000
783,7,1,39,68,1,9000
784,7,1,39,76,1,0
785,1,2,40,55,2,30002
786,1,1,39,60,1,50000
787,1,1,41,44,2,76000
788,1,2,42,38,2,0
789,7,1,0,3,-1,0
790,5,2,44,28,2,58000
791,5,2,43,34,2,53000
792,1,1,40,61,1,80002
793,1,2,39,56,2,0
794,7,1,39,23,2,0
795,1,1,43,37,2,63000
796,1,1,43,35,2,85000
797,7,1,0,1,-1,0
798,5,2,42,44,2,30000
799,7,1,39,19,2,0
800,7,1,0,8,-1,0
801,7,1,43,23,2,47000
802,7,2,43,24,2,20000
803,1,1,40,62,2,32000
804,1,2,41,60,2,80000
805,1,1,39,45,2,45000
806,1,2,40,41,2,0
807,7,1,43,29,2,50000
808,7,2,44,27,2,85000
809,1,2,43,80,2,0
810,1,1,43,56,2,50000
811,3,2,36,56,2,24000
812,7,1,39,21,2,1700
813,1,2,43,57,2,205000
814,1,1,39,63,2,50000
815,4,2,39,80,2,0
816,1,1,43,33,2,75000
817,1,2,43,63,2,95000
818,7,1,0,9,-1,0
819,6,2,37,64,2,45000
820,1,1,43,35,2,112000
821,1,2,43,35,2,80000
822,7,1,0,7,-1,0
823,7,2,0,3,-1,0
824,7,2,40,40,2,30000
825,7,1,0,13,-1,0
826,5,1,39,45,2,0
827,7,2,44,74,2,38000
828,7,1,43,25,2,110000
829,7,2,44,25,2,45000
830,7,1,44,25,2,50000
831,7,2,42,51,2,40002
832,7,2,40,50,2,0
833,1,2,44,58,2,52000
834,1,1,39,60,2,95000
835,7,1,42,80,2,0
836,7,2,40,32,2,26000
837,7,2,43,28,2,52681
